title,genre,subgenre,vocal_gender,mood,target_bpm,energy_score,activity_fit,hook_timing,style_influence,weirdness,minimum_duration_seconds,vocals_required,similarity_cluster,suno_prompt,status
Reckless Vow,Mainstream Melodic Rap,Trap Soul,female,hopeful,82,6,gym warmup,0:12,73,40,150,TRUE,mains-c02,"Trap Soul, hopeful female lead vocal, raspy melodic flow; 82 BPM; production: stadium drums, twinkling rhodes, bell-tone melody; theme: regret at 3am; hook at 0:12 (single-line repeatable hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lonely Mistake,Mainstream Melodic Rap,Melodic Hip-Hop,male,wistful,84,6,rooftop reflection,0:08,80,40,206,TRUE,mains-c02,"Melodic Hip-Hop, wistful male lead vocal, raspy melodic flow; 84 BPM; production: filtered vocal chops, twinkling rhodes, lush reverb tails; theme: fame fatigue; hook at 0:08 (title-as-hook payoff); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Diamond Memory,Mainstream Melodic Rap,Trap Soul,male,ambitious,97,5,headphone solo listen,0:06,69,45,93,TRUE,mains-c02,"Trap Soul, ambitious male lead vocal, intimate breath-close vocal; 97 BPM; production: stadium drums, crisp trap hats, filtered vocal chops; theme: missing someone real; hook at 0:06 (name-drop hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Late Halo,Mainstream Melodic Rap,Atmospheric Rap,male,ambitious,78,6,late-night drive,0:06,71,46,93,TRUE,mains-c02,"Atmospheric Rap, ambitious male lead vocal, intimate breath-close vocal; 78 BPM; production: stadium drums, bell-tone melody, muted piano loop; theme: regret at 3am; hook at 0:06 (echoed call-and-response hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lonely Throne,Mainstream Melodic Rap,Melodic Hip-Hop,male,lonely,96,4,studio session,0:06,69,44,157,TRUE,mains-c02,"Melodic Hip-Hop, lonely male lead vocal, double-tracked falsetto chorus; 96 BPM; production: stadium drums, lush reverb tails, filtered vocal chops; theme: the price of winning; hook at 0:06 (echoed call-and-response hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Late Driver,Mainstream Melodic Rap,Trap Soul,male,ambitious,100,6,rooftop reflection,0:14,72,41,114,TRUE,mains-c02,"Trap Soul, ambitious male lead vocal, double-tracked falsetto chorus; 100 BPM; production: glossy 808s, lush reverb tails, warm sub bass; theme: regret at 3am; hook at 0:14 (two-word chant hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Memory,Mainstream Melodic Rap,Luxury Melodic Rap,male,swaggering,102,7,gym warmup,0:10,71,48,197,TRUE,mains-c02,"Luxury Melodic Rap, swaggering male lead vocal, double-tracked falsetto chorus; 102 BPM; production: filtered vocal chops, warm sub bass, bell-tone melody; theme: self-belief after losses; hook at 0:10 (melodic ad-lib hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sapphire Echo (feat. The Night),Mainstream Melodic Rap,Luxury Melodic Rap,male,vulnerable,74,7,gym warmup,0:10,68,47,140,TRUE,mains-c02,"Luxury Melodic Rap, vulnerable male lead vocal, whispery verses, belted hook; 74 BPM; production: muted piano loop, atmospheric synths, lush reverb tails; theme: loyalty in the come-up; hook at 0:10 (earworm vowel-loop hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Skyline Avenue (feat. The Night),Mainstream Melodic Rap,Moody Melodic Rap,male,swaggering,96,6,gym warmup,0:10,65,54,139,TRUE,mains-c02,"Moody Melodic Rap, swaggering male lead vocal, whispery verses, belted hook; 96 BPM; production: lush reverb tails, muted piano loop, stadium drums; theme: late-night reflection; hook at 0:10 (earworm vowel-loop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Endless Throne III,Mainstream Melodic Rap,Luxury Melodic Rap,male,yearning,87,6,late-night drive,0:08,75,55,101,TRUE,mains-c02,"Luxury Melodic Rap, yearning male lead vocal, whispery verses, belted hook; 87 BPM; production: cinematic strings, atmospheric synths, crisp trap hats; theme: the price of winning; hook at 0:08 (name-drop hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Driver II,Mainstream Melodic Rap,R&B-Tinged Rap,male,hopeful,86,5,rooftop reflection,0:14,73,53,169,TRUE,mains-c03,"R&B-Tinged Rap, hopeful male lead vocal, raspy melodic flow; 86 BPM; production: twinkling rhodes, muted piano loop, cinematic strings; theme: ambition vs loneliness; hook at 0:14 (post-chorus 'oh-oh' tag); modern radio-ready mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Highway,Mainstream Melodic Rap,Trap Soul,male,nostalgic,81,4,gym warmup,0:10,73,45,134,TRUE,mains-c03,"Trap Soul, nostalgic male lead vocal, whispery verses, belted hook; 81 BPM; production: bell-tone melody, cinematic strings, warm sub bass; theme: fame fatigue; hook at 0:10 (melodic ad-lib hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Heavy Crown (feat. The Night),Mainstream Melodic Rap,Moody Melodic Rap,male,lonely,100,6,gym warmup,0:12,71,49,119,TRUE,mains-c03,"Moody Melodic Rap, lonely male lead vocal, raspy melodic flow; 100 BPM; production: muted piano loop, bell-tone melody, crisp trap hats; theme: the price of winning; hook at 0:12 (echoed call-and-response hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lonely Halo,Mainstream Melodic Rap,Luxury Melodic Rap,male,nostalgic,74,7,city skyline cruise,0:12,74,47,95,TRUE,mains-c03,"Luxury Melodic Rap, nostalgic male lead vocal, raspy melodic flow; 74 BPM; production: atmospheric synths, glossy 808s, muted piano loop; theme: the price of winning; hook at 0:12 (pre-chorus build into anthemic hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Skyline Driver Pt. 2,Mainstream Melodic Rap,Melodic Hip-Hop,female,swaggering,85,5,late-night drive,0:10,73,55,154,TRUE,mains-c03,"Melodic Hip-Hop, swaggering female lead vocal, whispery verses, belted hook; 85 BPM; production: twinkling rhodes, lush reverb tails, atmospheric synths; theme: late-night reflection; hook at 0:10 (two-word chant hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Golden Highway II,Mainstream Melodic Rap,Trap Soul,male,confident,72,7,sunset cruise,0:06,75,52,182,TRUE,mains-c03,"Trap Soul, confident male lead vocal, double-tracked falsetto chorus; 72 BPM; production: cinematic strings, stadium drums, twinkling rhodes; theme: ambition vs loneliness; hook at 0:06 (name-drop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sapphire Throne,Mainstream Melodic Rap,Luxury Melodic Rap,female,bittersweet,97,6,studio session,0:14,66,40,107,TRUE,mains-c03,"Luxury Melodic Rap, bittersweet female lead vocal, double-tracked falsetto chorus; 97 BPM; production: warm sub bass, vinyl crackle texture, glossy 808s; theme: the price of winning; hook at 0:14 (two-word chant hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Echoes Promise,Mainstream Melodic Rap,R&B-Tinged Rap,male,bittersweet,85,4,highway run,0:10,80,42,122,TRUE,mains-c03,"R&B-Tinged Rap, bittersweet male lead vocal, double-tracked falsetto chorus; 85 BPM; production: glossy 808s, filtered vocal chops, muted piano loop; theme: wanting more than the bag; hook at 0:10 (two-word chant hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Heavy Avenue,Mainstream Melodic Rap,R&B-Tinged Rap,male,triumphant,94,6,rooftop reflection,0:12,75,44,122,TRUE,mains-c03,"R&B-Tinged Rap, triumphant male lead vocal, intimate breath-close vocal; 94 BPM; production: bell-tone melody, cinematic strings, glossy 808s; theme: victory laps; hook at 0:12 (two-word chant hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sapphire Heart,Mainstream Melodic Rap,R&B-Tinged Rap,male,melancholic,83,7,highway run,0:10,74,46,100,TRUE,mains-c03,"R&B-Tinged Rap, melancholic male lead vocal, raspy melodic flow; 83 BPM; production: stadium drums, warm sub bass, cinematic strings; theme: self-belief after losses; hook at 0:10 (two-word chant hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Midnight Throne,Mainstream Melodic Rap,Atmospheric Rap,male,vulnerable,83,4,gym warmup,0:06,73,44,203,TRUE,mains-c04,"Atmospheric Rap, vulnerable male lead vocal, double-tracked falsetto chorus; 83 BPM; production: vinyl crackle texture, muted piano loop, atmospheric synths; theme: wanting more than the bag; hook at 0:06 (post-chorus 'oh-oh' tag); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Ivory Avenue,Mainstream Melodic Rap,Atmospheric Rap,male,ambitious,70,6,highway run,0:12,75,43,90,TRUE,mains-c04,"Atmospheric Rap, ambitious male lead vocal, whispery verses, belted hook; 70 BPM; production: crisp trap hats, cinematic strings, atmospheric synths; theme: missing someone real; hook at 0:12 (post-chorus 'oh-oh' tag); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Silent Promise (feat. The Night),Mainstream Melodic Rap,R&B-Tinged Rap,male,melancholic,88,4,city skyline cruise,0:10,66,48,125,TRUE,mains-c04,"R&B-Tinged Rap, melancholic male lead vocal, soft autotune crooning; 88 BPM; production: muted piano loop, crisp trap hats, bell-tone melody; theme: victory laps; hook at 0:10 (echoed call-and-response hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Throne,Mainstream Melodic Rap,Melodic Hip-Hop,male,lonely,90,5,gym warmup,0:10,78,41,147,TRUE,mains-c04,"Melodic Hip-Hop, lonely male lead vocal, double-tracked falsetto chorus; 90 BPM; production: crisp trap hats, glossy 808s, stadium drums; theme: regret at 3am; hook at 0:10 (two-word chant hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Crystal Mirror (feat. The Night),Mainstream Melodic Rap,Trap Soul,male,triumphant,96,5,headphone solo listen,0:10,77,55,105,TRUE,mains-c04,"Trap Soul, triumphant male lead vocal, intimate breath-close vocal; 96 BPM; production: cinematic strings, stadium drums, bell-tone melody; theme: missing someone real; hook at 0:10 (pre-chorus build into anthemic hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Skyline Roses,Mainstream Melodic Rap,Atmospheric Rap,female,introspective,98,5,headphone solo listen,0:12,67,50,130,TRUE,mains-c04,"Atmospheric Rap, introspective female lead vocal, harmonized melodic hook; 98 BPM; production: crisp trap hats, atmospheric synths, warm sub bass; theme: fame fatigue; hook at 0:12 (name-drop hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Ivory Hours,Mainstream Melodic Rap,Luxury Melodic Rap,male,vulnerable,96,6,gym warmup,0:12,71,44,101,TRUE,mains-c04,"Luxury Melodic Rap, vulnerable male lead vocal, whispery verses, belted hook; 96 BPM; production: cinematic strings, lush reverb tails, glossy 808s; theme: self-belief after losses; hook at 0:12 (post-chorus 'oh-oh' tag); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Golden Promise,Mainstream Melodic Rap,Melodic Hip-Hop,male,ambitious,72,4,sunset cruise,0:12,72,54,190,TRUE,mains-c04,"Melodic Hip-Hop, ambitious male lead vocal, raspy melodic flow; 72 BPM; production: vinyl crackle texture, filtered vocal chops, glossy 808s; theme: ambition vs loneliness; hook at 0:12 (earworm vowel-loop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Golden Halo (feat. The Night),Mainstream Melodic Rap,Luxury Melodic Rap,male,wistful,72,4,late-night drive,0:08,78,48,179,TRUE,mains-c04,"Luxury Melodic Rap, wistful male lead vocal, intimate breath-close vocal; 72 BPM; production: twinkling rhodes, vinyl crackle texture, glossy 808s; theme: the price of winning; hook at 0:08 (name-drop hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Echoes Roses,Mainstream Melodic Rap,Trap Soul,male,yearning,84,7,late-night drive,0:06,72,47,93,TRUE,mains-c04,"Trap Soul, yearning male lead vocal, whispery verses, belted hook; 84 BPM; production: warm sub bass, cinematic strings, filtered vocal chops; theme: love and money; hook at 0:06 (earworm vowel-loop hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Crystal Crown (feat. The Night),Mainstream Melodic Rap,R&B-Tinged Rap,male,wistful,86,4,gym warmup,0:12,77,51,115,TRUE,mains-c05,"R&B-Tinged Rap, wistful male lead vocal, intimate breath-close vocal; 86 BPM; production: lush reverb tails, twinkling rhodes, filtered vocal chops; theme: late-night reflection; hook at 0:12 (echoed call-and-response hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Crystal Highway (feat. The Night),Mainstream Melodic Rap,Trap Soul,male,hopeful,82,7,gym warmup,0:12,72,45,152,TRUE,mains-c05,"Trap Soul, hopeful male lead vocal, double-tracked falsetto chorus; 82 BPM; production: twinkling rhodes, cinematic strings, bell-tone melody; theme: ambition vs loneliness; hook at 0:12 (title-as-hook payoff); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Halo II,Mainstream Melodic Rap,Moody Melodic Rap,male,vulnerable,73,7,late-night drive,0:08,71,50,113,TRUE,mains-c05,"Moody Melodic Rap, vulnerable male lead vocal, soft autotune crooning; 73 BPM; production: crisp trap hats, filtered vocal chops, lush reverb tails; theme: wanting more than the bag; hook at 0:08 (name-drop hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Ivory Gospel,Mainstream Melodic Rap,Luxury Melodic Rap,male,wistful,92,6,sunset cruise,0:06,80,41,115,TRUE,mains-c05,"Luxury Melodic Rap, wistful male lead vocal, whispery verses, belted hook; 92 BPM; production: warm sub bass, twinkling rhodes, crisp trap hats; theme: growing up too fast; hook at 0:06 (two-word chant hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Reckless Confession,Mainstream Melodic Rap,Atmospheric Rap,male,bittersweet,96,6,gym warmup,0:12,67,46,205,TRUE,mains-c05,"Atmospheric Rap, bittersweet male lead vocal, soft autotune crooning; 96 BPM; production: glossy 808s, crisp trap hats, stadium drums; theme: self-belief after losses; hook at 0:12 (pre-chorus build into anthemic hook); modern radio-ready mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Hours,Mainstream Melodic Rap,Melodic Hip-Hop,male,nostalgic,74,4,late-night drive,0:08,80,44,113,TRUE,mains-c05,"Melodic Hip-Hop, nostalgic male lead vocal, whispery verses, belted hook; 74 BPM; production: muted piano loop, filtered vocal chops, bell-tone melody; theme: missing someone real; hook at 0:08 (earworm vowel-loop hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Silent Confession,Mainstream Melodic Rap,Luxury Melodic Rap,female,introspective,95,4,studio session,0:08,78,45,203,TRUE,mains-c05,"Luxury Melodic Rap, introspective female lead vocal, double-tracked falsetto chorus; 95 BPM; production: crisp trap hats, muted piano loop, glossy 808s; theme: self-belief after losses; hook at 0:08 (post-chorus 'oh-oh' tag); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Diamond Hours,Mainstream Melodic Rap,Atmospheric Rap,male,melancholic,98,6,studio session,0:08,74,43,127,TRUE,mains-c05,"Atmospheric Rap, melancholic male lead vocal, intimate breath-close vocal; 98 BPM; production: atmospheric synths, crisp trap hats, filtered vocal chops; theme: victory laps; hook at 0:08 (melodic ad-lib hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Heavy Mistake,Mainstream Melodic Rap,Atmospheric Rap,male,ambitious,85,4,gym warmup,0:08,72,47,173,TRUE,mains-c05,"Atmospheric Rap, ambitious male lead vocal, soft autotune crooning; 85 BPM; production: cinematic strings, vinyl crackle texture, twinkling rhodes; theme: growing up too fast; hook at 0:08 (pre-chorus build into anthemic hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Late Crown (feat. The Night),Mainstream Melodic Rap,Trap Soul,male,swaggering,72,6,city skyline cruise,0:08,70,51,147,TRUE,mains-c05,"Trap Soul, swaggering male lead vocal, double-tracked falsetto chorus; 72 BPM; production: muted piano loop, glossy 808s, twinkling rhodes; theme: victory laps; hook at 0:08 (two-word chant hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
